name,affiliation,department,gold_email,gold_website
Robin Wordsworth,Harvard University,Department of Earth and Planetary Sciences,,
Roger Fu,Harvard University,Department of Earth and Planetary Sciences,,
Ronja Olsen,Harvard University,Department of Earth and Planetary Sciences,,
Rupa Ragavan,Harvard University,Department of Earth and Planetary Sciences,,
Ruth Tweedy,Harvard University,Department of Earth and Planetary Sciences,,
Sammy Piascik,Harvard University,Department of Earth and Planetary Sciences,,
Sara Eyjolfsdottir,Harvard University,Department of Earth and Planetary Sciences,,
Sarah Crucilla,Harvard University,Department of Earth and Planetary Sciences,,
Sarah Hancock,Harvard University,Department of Earth and Planetary Sciences,,
Sarah Steele,Harvard University,Department of Earth and Planetary Sciences,,
Sarah Weidman,Harvard University,Department of Earth and Planetary Sciences,,
Shijie Wen,Harvard University,Department of Earth and Planetary Sciences,,
Shirin Soleimani,Harvard University,Department of Earth and Planetary Sciences,,
Shradha Ravikumar,Harvard University,Department of Earth and Planetary Sciences,,
Simone Rivard,Harvard University,Department of Earth and Planetary Sciences,,
Siyu Zhao,Harvard University,Department of Earth and Planetary Sciences,,
Song Xue,Harvard University,Department of Earth and Planetary Sciences,,
Sophie-An Kingsbury Lee,Harvard University,Department of Earth and Planetary Sciences,,
Stein Jacobsen,Harvard University,Department of Earth and Planetary Sciences,,
Stephanie Clayman,Harvard University,Department of Earth and Planetary Sciences,,
Steven Wofsy,Harvard University,Department of Earth and Planetary Sciences,,
Susie Carter,Harvard University,Department of Earth and Planetary Sciences,,
Sylvie Wurmser,Harvard University,Department of Earth and Planetary Sciences,,
Tara Gallagher,Harvard University,Department of Earth and Planetary Sciences,,
Todd Mooring,Harvard University,Department of Earth and Planetary Sciences,,
Tyler Ory,Harvard University,Department of Earth and Planetary Sciences,,
Undergraduate Program,Harvard University,Department of Earth and Planetary Sciences,,
Valencia Ajeh,Harvard University,Department of Earth and Planetary Sciences,,
Walter Shen,Harvard University,Department of Earth and Planetary Sciences,,
Xiang Liu,Harvard University,Department of Earth and Planetary Sciences,,
Xiyuan Bao,Harvard University,Department of Earth and Planetary Sciences,,
Yichen Geng,Harvard University,Department of Earth and Planetary Sciences,,
Yu Cheng,Harvard University,Department of Earth and Planetary Sciences,,
Zhiji Hu,Harvard University,Department of Earth and Planetary Sciences,,
Zhiming Kuang,Harvard University,Department of Earth and Planetary Sciences,,
Zhongxing Chen,Harvard University,Department of Earth and Planetary Sciences,,
